mrt_name,latitude,longitude
NICOLL HIGHWAY MRT STATION,1.29976684675139,103.86363696572
STADIUM MRT STATION,1.3028124684707,103.875337711089
MOUNTBATTEN MRT STATION,1.30620190525331,103.882528081052
DAKOTA MRT STATION,1.30854798388121,103.889064718377
PAYA LEBAR MRT STATION,1.3172473854035,103.892260753884
BAYFRONT MRT STATION,1.28187378879209,103.859079764874
MARINA BAY MRT STATION,1.27631114381584,103.854604975361
EXPO MRT STATION,1.33538252614956,103.962374747451
CHANGI AIRPORT MRT STATION,1.35747897447692,103.98788356959
BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
STEVENS MRT STATION,1.32006555750626,103.826024401924
NEWTON MRT STATION,1.3123189224097,103.837984594021
LITTLE INDIA MRT STATION,1.30724381608438,103.849841614124
ROCHOR MRT STATION,1.30385218527656,103.852769428884
BUGIS MRT STATION,1.30046508509717,103.855706730933
DOWNTOWN MRT STATION,1.27944638178916,103.852840829581
TELOK AYER MRT STATION,1.28206894769394,103.848648781083
CHINATOWN MRT STATION,1.28422391919085,103.845143798953
CASHEW MRT STATION,1.36981544925552,103.76443921414
FORT CANNING MRT STATION,1.29248194822996,103.844331362465
BENCOOLEN MRT STATION,1.29891843369422,103.850353762717
JALAN BESAR MRT STATION,1.3051713878069,103.855295713435
BENDEMEER MRT STATION,1.31367252847691,103.862977620945
GEYLANG BAHRU MRT STATION,1.32130110228321,103.871622627142
MATTAR MRT STATION,1.32687671501334,103.883247509542
UBI MRT STATION,1.32997425973974,103.899226655439
KAKI BUKIT MRT STATION,1.33496735995428,103.908459338046
BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995
HILLVIEW MRT STATION,1.36234486803558,103.767418254007
BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286
TAMPINES WEST MRT STATION,1.34551530560119,103.938436971222
TAMPINES MRT STATION,1.34551530560119,103.938436971222
TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625
UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634
BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233
SIXTH AVENUE MRT STATION,1.33085764536226,103.796906838288
TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692
PASIR RIS MRT STATION,1.37304331635804,103.949284527763
KALLANG MRT STATION,1.31148890998818,103.871386541754
LAVENDER MRT STATION,1.30737781747063,103.862767633888
CITY HALL MRT STATION,1.29298990700923,103.852542630339
RAFFLES PLACE MRT STATION,1.28393326234538,103.851463066212
TANJONG PAGAR MRT STATION,1.27656131737246,103.845725186759
OUTRAM PARK MRT STATION,1.2802415328084,103.840052100136
TIONG BAHRU MRT STATION,1.28619457890544,103.826998939732
REDHILL MRT STATION,1.28963453412887,103.81674097205
QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982
COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336
DOVER MRT STATION,1.31140529320963,103.778637841909
CLEMENTI MRT STATION,1.31511625277378,103.765191452888
JURONG EAST MRT STATION,1.33315281585758,103.742286332403
CHINESE GARDEN MRT STATION,1.34235282081401,103.732596738363
LAKESIDE MRT STATION,1.34425911493819,103.720949087456
BOON LAY MRT STATION,1.33860405469845,103.706064622772
PIONEER MRT STATION,1.33758701106708,103.697321608474
JOO KOON MRT STATION,1.3277170408447,103.678374996165
SIMEI MRT STATION,1.34319707851829,103.953377214378
GUL CIRCLE MRT STATION,1.31947090075208,103.660530461345
TUAS CRESCENT MRT STATION,1.32102695598684,103.649078235627
TUAS WEST ROAD MRT STATION,1.32998504653102,103.639616648771
TUAS LINK MRT STATION,1.34088242451105,103.636991425128
TANAH MERAH MRT STATION,1.32718729074675,103.946348600798
BEDOK MRT STATION,1.32040148729112,103.957183823478
KEMBANGAN MRT STATION,1.3210381335934,103.912947930851
EUNOS MRT STATION,1.31978354916088,103.903225807255
ALJUNIED MRT STATION,1.3164326118157,103.882906044385
POTONG PASIR MRT STATION,1.33137808528793,103.869363547741
WOODLEIGH MRT STATION,1.33919004519388,103.87081830915
KOVAN MRT STATION,1.36017917065237,103.885064856353
HOUGANG MRT STATION,1.37129226620797,103.892380513029
BUANGKOK MRT STATION,1.38287001971672,103.893122569706
SENGKANG MRT STATION,1.39169462601522,103.895484694279
PUNGGOL MRT STATION,1.41492733388605,103.910166388177
CLARKE QUAY MRT STATION,1.28745211415803,103.846119192727
FARRER PARK MRT STATION,1.31314029963164,103.854754721344
BOON KENG MRT STATION,1.31993957653291,103.862052698446
ADMIRALTY MRT STATION,1.44058856161847,103.800990519771
SEMBAWANG MRT STATION,1.44905082158502,103.820046140211
CANBERRA MRT STATION,1.44307664075699,103.829702590959
YISHUN MRT STATION,1.42944308477331,103.835005047246
KHATIB MRT STATION,1.41738337009565,103.832979908243
YIO CHU KANG MRT STATION,1.38175587099132,103.84494727118
ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
BRADDELL MRT STATION,1.3404690010277,103.846799083148
TOA PAYOH MRT STATION,1.33262928096888,103.847502198048
BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309
NOVENA MRT STATION,1.32044079120154,103.843825618748
ORCHARD MRT STATION,1.30242224836722,103.823868523249
SOMERSET MRT STATION,1.30026416739006,103.839085753124
MARINA SOUTH PIER MRT STATION,1.27102703612006,103.862447515736
BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733
CHOA CHU KANG MRT STATION,1.38536316540225,103.744370779756
YEW TEE MRT STATION,1.39753506936297,103.747405150236
KRANJI MRT STATION,1.42508698073648,103.762137459497
MARSILING MRT STATION,1.43252114855026,103.774074641403
WOODLANDS MRT STATION,1.43605761708128,103.787938777173
COVE LRT STATION,1.39928198837342,103.905961941214
MERIDIAN LRT STATION,1.3969120498774,103.908950224489
CORAL EDGE LRT STATION,1.39390922863313,103.912580845515
RIVIERA LRT STATION,1.39451978540251,103.916169381157
KADALOOR LRT STATION,1.39950910636258,103.916574974234
OASIS LRT STATION,1.40228667971123,103.912727352412
DAMAI LRT STATION,1.40523483636957,103.908603542566
PUNGGOL LRT STATION,1.40519470149606,103.902411911915
SAM KEE LRT STATION,1.40961268528804,103.904831550608
TECK LEE LRT STATION,1.4127708937463,103.906577622768
PUNGGOL POINT LRT STATION,1.41684852031206,103.906650789313
SAMUDERA LRT STATION,1.41590172160383,103.902156317163
NIBONG LRT STATION,1.41185447744238,103.900339452055
SUMANG LRT STATION,1.40845241943079,103.898558450395
SOO TECK LRT STATION,1.40532331860455,103.897290522033
COMPASSVALE LRT STATION,1.39449304450373,103.900492450944
RUMBIA LRT STATION,1.39146849534132,103.90597359341
BAKAU LRT STATION,1.38799431054768,103.905415300171
KANGKAR LRT STATION,1.38395911688913,103.90222537044
RANGGUNG LRT STATION,1.38423355918277,103.897194667804
SENGKANG LRT STATION,1.39160936379906,103.895442583336
CHENG LIM LRT STATION,1.39627763344324,103.893797181731
FARMWAY LRT STATION,1.39717019591821,103.889304824196
KUPANG LRT STATION,1.39821283031379,103.881256222255
THANGGAM LRT STATION,1.39731815581938,103.875635154729
FERNVALE LRT STATION,1.39188589234766,103.87630862552
LAYAR LRT STATION,1.39207983659997,103.880029600546
TONGKANG LRT STATION,1.38934794658941,103.885844150116
RENJONG LRT STATION,1.38670058991904,103.89062131608
WOODLANDS NORTH MRT STATION,1.44829245259621,103.785692682441
WOODLANDS SOUTH MRT STATION,1.42739605281442,103.79326432221
SPRINGLEAF MRT STATION,1.39758106126824,103.817856949947
LENTOR MRT STATION,1.38550657972169,103.835743809669
MAYFLOWER MRT STATION,1.37146318831015,103.836567766945
BRIGHT HILL MRT STATION,1.36328318545185,103.832893619992
UPPER THOMSON MRT STATION,1.35441643365401,103.832898468504
